feature,importance
cvss_score,0.639714
cvss_sq,0.23610751
is_exploited,0.09246663
severity_num,0.025454214
epss_kev,0.005192903
age_cve,0.00040611226
age_bucket,0.0002870266
epss,0.00015070639
epss_log,8.9233276e-05
severity_x_av,8.442509e-05
av_num,1.1191804e-05
ui_penalty,1.0698114e-05
attack_surface,9.718343e-06
pr_num,5.527666e-06
ac_num,4.0980794e-06
ui_num,3.6604515e-06
network_no_auth,2.3040268e-06
port_is_db,0.0
db_exposed,0.0
public_critical_port,0.0
public_and_exploit,0.0
public_and_network,0.0
port_is_web,0.0
svc_type_num,0.0
port_is_critical,0.0
port_is_highrisk,0.0
host_criticality,0.0
host_type,0.0
is_public,0.0
port,0.0
host_x_cvss,0.0
