cve,cvss_score,severity,severity_num,port,service,is_public,has_exploit,in_cisa_kev,in_exploitdb,attackVector,attackComplexity,privilegesRequired,userInteraction,gold_risk_score,source
CVE-1999-0426,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-1999-1324,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2000-1218,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2000-0944,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2001-1339,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2001-0248,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2001-0249,9.8,CRITICAL,4,1521,solaris,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2001-0395,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2001-1291,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2001-0609,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2001-1155,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2001-0967,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2001-1125,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2001-0766,9.8,CRITICAL,4,80,http_server,1,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2001-1481,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2001-1496,9.8,CRITICAL,4,80,thttpd,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-0059,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-0083,9.8,CRITICAL,4,22,openssh,1,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2002-0639,9.8,CRITICAL,4,22,openssh,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-0671,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-0391,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-1347,9.8,CRITICAL,4,143,cyrus_sasl,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-1798,9.1,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2002-1816,9.8,CRITICAL,4,80,atphttpd,1,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2002-1820,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-2119,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2002-1484,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2003-0174,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2003-0356,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2003-0252,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2003-0466,9.8,CRITICAL,4,21,wu_ftpd,1,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2003-0791,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2003-0899,9.8,CRITICAL,4,80,thttpd,1,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2003-0545,9.8,CRITICAL,4,443,openssl,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2003-1233,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2004-0030,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2004-0005,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2004-0434,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2004-2061,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2004-1363,9.8,CRITICAL,4,1521,application_server,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2004-0772,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2004-0847,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2004-0285,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2004-2154,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2004-2214,9.8,CRITICAL,4,80,appweb_http_server,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-0102,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-0408,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2005-0496,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-1141,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-0199,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2005-0269,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-1513,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-1744,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-1689,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2005-2103,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2005-2773,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2005-3120,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2005-3435,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2007-0681,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2006-7079,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2007-1399,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2007-3798,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2007-3010,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2007-6013,9.8,CRITICAL,4,3389,wordpress,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-0081,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2008-0174,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-0655,9.8,CRITICAL,4,0,unknown,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2008-0062,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-1160,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2008-0961,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-0599,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-2108,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-3604,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2008-2369,9.1,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-2433,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-3612,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-5038,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-5784,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2009-1151,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2009-1936,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2009-2168,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2009-2367,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2009-2382,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2009-2422,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2009-1048,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2008-7109,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2009-3421,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2009-3616,9.9,CRITICAL,4,0,unknown,0,0,0,0,NETWORK,LOW,LOW,NONE,9.9,NVD
CVE-2009-4581,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2009-4013,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-0840,9.8,CRITICAL,4,1521,jre,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2010-1866,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2010-1573,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-1205,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2010-0211,9.8,CRITICAL,4,389,openldap,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2010-2861,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2010-2076,9.8,CRITICAL,4,80,cxf,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-3416,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-3729,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
